Date,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Winner,Umpire1,Umpire2
2020-07-23 18:21:27,Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,Mumbai Indians,bat,Sunrisers Hyderabad,Umpire13,Umpire5
2009-11-30 09:16:39,Delhi Capitals,Gujarat Titans,M. Chinnaswamy Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire16,Umpire7
2021-11-14 06:20:36,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,Mumbai Indians,Umpire18,Umpire15
2010-06-29 19:30:52,Kolkata Knight Riders,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire20,Umpire19
2016-05-23 04:42:17,Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,bat,Mumbai Indians,Umpire19,Umpire10
2012-09-02 21:47:02,Chennai Super Kings,Kings XI Punjab,Arun Jaitley Stadium,Kings XI Punjab,field,Chennai Super Kings,Umpire4,Umpire13
2021-02-02 02:30:05,Rajasthan Royals,Chennai Super Kings,Arun Jaitley Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire12,Umpire10
2017-04-30 23:06:12,Royal Challengers Bangalore,Rajasthan Royals,Wankhede Stadium,Royal Challengers Bangalore,field,Rajasthan Royals,Umpire10,Umpire13
2022-09-03 05:11:05,Rajasthan Royals,Gujarat Titans,M. Chinnaswamy Stadium,Rajasthan Royals,field,Gujarat Titans,Umpire16,Umpire14
2008-07-10 17:43:40,Delhi Capitals,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,Delhi Capitals,Umpire19,Umpire16
2011-01-28 05:14:08,Chennai Super Kings,Rajasthan Royals,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire6,Umpire3
2011-08-01 16:04:59,Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,Kolkata Knight Riders,field,Lucknow Super Giants,Umpire4,Umpire6
2013-07-06 11:11:10,Mumbai Indians,Kings XI Punjab,Eden Gardens,Kings XI Punjab,bat,Kings XI Punjab,Umpire12,Umpire9
2010-08-08 00:05:08,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,bat,Mumbai Indians,Umpire15,Umpire20
2016-07-24 22:56:16,Chennai Super Kings,Royal Challengers Bangalore,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire18,Umpire13
2016-04-09 11:07:04,Royal Challengers Bangalore,Sunrisers Hyderabad,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire19,Umpire17
2017-12-18 23:50:56,Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,Royal Challengers Bangalore,Umpire11,Umpire14
2015-11-11 06:35:21,Lucknow Super Giants,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire19,Umpire16
2013-08-09 07:34:01,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,bat,Mumbai Indians,Umpire2,Umpire20
2013-08-18 19:33:30,Kings XI Punjab,Delhi Capitals,Arun Jaitley Stadium,Kings XI Punjab,field,Delhi Capitals,Umpire8,Umpire4
2009-10-02 00:14:04,Sunrisers Hyderabad,Kings XI Punjab,M. Chinnaswamy Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire18,Umpire15
2022-03-09 19:25:01,Chennai Super Kings,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire13,Umpire3
2013-03-11 12:49:06,Lucknow Super Giants,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire15,Umpire3
2016-10-12 18:02:44,Rajasthan Royals,Gujarat Titans,M. Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire8,Umpire19
2016-09-02 07:29:59,Lucknow Super Giants,Rajasthan Royals,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Rajasthan Royals,Umpire2,Umpire1
2010-06-28 14:04:19,Sunrisers Hyderabad,Kings XI Punjab,Wankhede Stadium,Sunrisers Hyderabad,field,Kings XI Punjab,Umpire4,Umpire2
2014-06-07 08:04:47,Royal Challengers Bangalore,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,Gujarat Titans,Umpire16,Umpire5
2016-12-13 22:28:43,Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire14,Umpire14
2013-10-06 08:45:26,Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire18,Umpire9
2017-12-07 20:31:14,Royal Challengers Bangalore,Lucknow Super Giants,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Lucknow Super Giants,Umpire12,Umpire2
2014-08-11 04:46:05,Kings XI Punjab,Delhi Capitals,M. Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,Umpire11,Umpire9
2012-04-28 21:28:50,Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,Delhi Capitals,bat,Rajasthan Royals,Umpire15,Umpire11
2010-10-25 19:09:09,Delhi Capitals,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,bat,Delhi Capitals,Umpire7,Umpire5
2018-06-12 12:47:58,Sunrisers Hyderabad,Kings XI Punjab,M. Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,Umpire19,Umpire1
2018-06-04 09:18:39,Royal Challengers Bangalore,Kings XI Punjab,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire3,Umpire16
2023-07-02 21:15:46,Mumbai Indians,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,Mumbai Indians,Umpire6,Umpire5
2022-05-14 06:34:56,Delhi Capitals,Sunrisers Hyderabad,Wankhede Stadium,Delhi Capitals,field,Delhi Capitals,Umpire19,Umpire6
2023-12-28 04:33:55,Lucknow Super Giants,Gujarat Titans,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Gujarat Titans,Umpire2,Umpire12
2016-09-30 10:40:48,Gujarat Titans,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Gujarat Titans,Umpire6,Umpire3
2011-04-16 13:33:08,Mumbai Indians,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Mumbai Indians,Umpire2,Umpire17
2020-11-27 07:24:48,Delhi Capitals,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Delhi Capitals,Umpire16,Umpire10
2014-05-13 18:15:59,Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,Umpire13,Umpire4
2023-01-27 03:01:41,Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals,Umpire13,Umpire12
2007-12-07 15:36:37,Lucknow Super Giants,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,Lucknow Super Giants,Umpire16,Umpire6
2010-03-23 09:50:56,Gujarat Titans,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire11,Umpire5
2017-08-08 00:22:51,Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,Mumbai Indians,field,Royal Challengers Bangalore,Umpire10,Umpire3
2022-10-06 13:09:27,Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals,Umpire19,Umpire5
2013-03-14 15:00:13,Lucknow Super Giants,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire13,Umpire17
2012-12-08 08:40:32,Kolkata Knight Riders,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,Umpire5,Umpire20
2023-03-03 12:50:22,Delhi Capitals,Kings XI Punjab,M. Chinnaswamy Stadium,Delhi Capitals,field,Kings XI Punjab,Umpire19,Umpire6
2022-10-30 09:45:27,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire1,Umpire18
2012-03-01 12:02:06,Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,bat,Mumbai Indians,Umpire7,Umpire12
2012-11-17 15:35:55,Sunrisers Hyderabad,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,Rajasthan Royals,Umpire19,Umpire15
2020-10-05 06:08:40,Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Delhi Capitals,field,Mumbai Indians,Umpire9,Umpire12
2011-08-17 13:39:54,Kings XI Punjab,Kolkata Knight Riders,Arun Jaitley Stadium,Kings XI Punjab,bat,Kolkata Knight Riders,Umpire8,Umpire8
2024-05-19 06:04:15,Kolkata Knight Riders,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire8,Umpire16
2018-09-13 19:28:49,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire8,Umpire8
